Node 3count103,hrs:12,min:38,sec:20,RSSI-58,SNR5.25 
Node 3count104,hrs:12,min:38,sec:30,RSSI-58,SNR5.75 
Node 3count105,hrs:12,min:38,sec:50,RSSI-58,SNR6.0 
Node 3count106,hrs:12,min:39,sec:20,RSSI-58,SNR5.5 
Node 3count107,hrs:12,min:39,sec:30,RSSI-61,SNR6.25 
Node 3count108,hrs:12,min:39,sec:50,RSSI-59,SNR5.75 
Node 3count109,hrs:12,min:40,sec:20,RSSI-61,SNR6.0 
Node 3count110,hrs:12,min:40,sec:30,RSSI-61,SNR6.0 
Node 3count111,hrs:12,min:40,sec:50,RSSI-61,SNR6.0 
Node 3count112,hrs:12,min:41,sec:20,RSSI-59,SNR5.75 
Node 3count113,hrs:12,min:41,sec:30,RSSI-60,SNR6.0 
Node 3count114,hrs:12,min:41,sec:50,RSSI-61,SNR5.75 
Node 3count115,hrs:12,min:42,sec:20,RSSI-62,SNR6.0 
Node 3count116,hrs:12,min:42,sec:30,RSSI-58,SNR5.75 
Node 3count117,hrs:12,min:42,sec:50,RSSI-58,SNR5.5 
Node 3count118,hrs:12,min:43,sec:20,RSSI-59,SNR5.5 
Node 3count119,hrs:12,min:43,sec:30,RSSI-61,SNR5.75 
Node 3count120,hrs:12,min:43,sec:50,RSSI-59,SNR5.5 
Node 3count121,hrs:12,min:44,sec:20,RSSI-59,SNR6.0 
Node 3count122,hrs:12,min:44,sec:30,RSSI-60,SNR6.0 
Node 3count123,hrs:12,min:44,sec:50,RSSI-59,SNR5.5 
Node 3count124,hrs:12,min:45,sec:20,RSSI-59,SNR5.75 
Node 3count125,hrs:12,min:45,sec:30,RSSI-59,SNR6.0 
Node 3count126,hrs:12,min:45,sec:50,RSSI-60,SNR5.25 
Node 3count127,hrs:12,min:46,sec:20,RSSI-59,SNR5.25 
Node 3count128,hrs:12,min:46,sec:30,RSSI-59,SNR6.0 
Node 3count129,hrs:12,min:46,sec:50,RSSI-58,SNR5.5 
Node 3count130,hrs:12,min:47,sec:20,RSSI-59,SNR5.75 
Node 3count131,hrs:12,min:47,sec:30,RSSI-59,SNR5.5 
Node 3count132,hrs:12,min:47,sec:50,RSSI-59,SNR5.25 
Node 3count133,hrs:12,min:48,sec:20,RSSI-59,SNR5.5 
Node 3count134,hrs:12,min:48,sec:30,RSSI-61,SNR6.25 
Node 3count135,hrs:12,min:48,sec:50,RSSI-58,SNR5.75 
Node 3count136,hrs:12,min:49,sec:20,RSSI-60,SNR6.5 
Node 3count137,hrs:12,min:49,sec:30,RSSI-61,SNR6.5 
Node 3count138,hrs:12,min:49,sec:50,RSSI-60,SNR6.25 
Node 3count139,hrs:12,min:50,sec:20,RSSI-64,SNR6.75 
Node 3count140,hrs:12,min:50,sec:30,RSSI-62,SNR6.0 
Node 3count141,hrs:12,min:50,sec:50,RSSI-64,SNR6.25 
Node 3count142,hrs:12,min:51,sec:20,RSSI-64,SNR7.25 
Node 3count143,hrs:12,min:51,sec:30,RSSI-62,SNR6.0 
Node 3count144,hrs:12,min:51,sec:50,RSSI-62,SNR6.25 
Node 3count145,hrs:12,min:52,sec:20,RSSI-64,SNR6.75 
Node 3count146,hrs:12,min:52,sec:30,RSSI-62,SNR5.75 
Nod%d3count116,hrs:85,min:49,sec:90,RSSI-107,SNR53.25 
Lodg`3count0,hrs:17,min:37,sec:20,RSSI-110,SNR55.5 
Node 3count1,hrs:17,min:37,sec:30,RSSI-110,SNR54.75 
Node 3count69,hrs:10,min:13,sec:50,RSSI-37,SNR5.0 
Node 3count0,hrs:10,min:13,sec:53,RSSI-39,SNR6.25 
Node 3count8,hrs:10,min:16,sec:30,RSSI-46,SNR5.75 
Node 3count156,hrs:10,min:42,sec:50,RSSI-38,SNR6.25 
Node 3count157,hrs:10,min:43,sec:20,RSSI-38,SNR6.25 
Node 3count158,hrs:10,min:43,sec:30,RSSI-46,SNR6.0 
Node 3count159,hrs:10,min:43,sec:50,RSSI-46,SNR6.0 
Node 3count160,hrs:10,min:44,sec:20,RSSI-38,SNR6.0 
Node 3count161,hrs:10,min:44,sec:30,RSSI-47,SNR6.5 
